RT,acc_spd,accuracy,angle,block,coherence,dataset,id,left_right,subj_idx,tdcs,trial_NR
799,spd,1,180,1,0.4171,berkeley,S1.1,2,1,sham,1
613,spd,1,180,1,0.4171,berkeley,S1.1,2,1,sham,2
627,spd,1,180,1,0.4171,berkeley,S1.1,1,1,sham,3
1280,acc,0,180,1,0.4171,berkeley,S1.1,1,1,sham,4
800,spd,1,180,1,0.4171,berkeley,S1.1,2,1,sham,5
760,acc,1,180,1,0.4171,berkeley,S1.1,2,1,sham,6
719,acc,0,180,1,0.4171,berkeley,S1.1,1,1,sham,7
799,spd,0,180,1,0.4171,berkeley,S1.1,1,1,sham,8
520,spd,1,180,1,0.4171,berkeley,S1.1,1,1,sham,9
1066,acc,1,180,1,0.4171,berkeley,S1.1,1,1,sham,10
480,spd,1,180,1,0.4171,berkeley,S1.1,2,1,sham,11
627,spd,1,180,1,0.4171,berkeley,S1.1,2,1,sham,12
467,spd,1,180,1,0.4171,berkeley,S1.1,2,1,sham,13
560,spd,0,180,1,0.4171,berkeley,S1.1,1,1,sham,14
867,acc,1,180,1,0.4171,berkeley,S1.1,2,1,sham,15
733,spd,1,180,1,0.4171,berkeley,S1.1,1,1,sham,16
759,acc,1,180,1,0.4171,berkeley,S1.1,1,1,sham,17
600,acc,1,180,1,0.4171,berkeley,S1.1,2,1,sham,18
706,acc,1,180,1,0.4171,berkeley,S1.1,2,1,sham,19
653,spd,1,180,1,0.4171,berkeley,S1.1,1,1,sham,20
439,spd,1,180,1,0.4171,berkeley,S1.1,2,1,sham,21
533,spd,1,180,1,0.4171,berkeley,S1.1,2,1,sham,22
587,spd,1,180,1,0.4171,berkeley,S1.1,1,1,sham,23
787,acc,1,180,1,0.4171,berkeley,S1.1,1,1,sham,24
640,spd,1,180,1,0.4171,berkeley,S1.1,1,1,sham,25
520,spd,0,180,1,0.4171,berkeley,S1.1,1,1,sham,26
639,spd,1,180,1,0.4171,berkeley,S1.1,2,1,sham,27
760,acc,0,180,1,0.4171,berkeley,S1.1,2,1,sham,28
813,spd,1,180,1,0.4171,berkeley,S1.1,2,1,sham,29
666,acc,1,180,1,0.4171,berkeley,S1.1,1,1,sham,30
600,spd,1,180,1,0.4171,berkeley,S1.1,2,1,sham,31
733,spd,1,180,1,0.4171,berkeley,S1.1,1,1,sham,32
667,acc,1,180,1,0.4171,berkeley,S1.1,1,1,sham,33
533,acc,1,180,1,0.4171,berkeley,S1.1,2,1,sham,34
639,spd,1,180,1,0.4171,berkeley,S1.1,2,1,sham,35
866,acc,1,180,1,0.4171,berkeley,S1.1,1,1,sham,36
639,acc,1,180,1,0.4171,berkeley,S1.1,2,1,sham,37
586,spd,1,180,1,0.4171,berkeley,S1.1,2,1,sham,38
653,acc,1,180,1,0.4171,berkeley,S1.1,1,1,sham,39
653,acc,1,180,1,0.4171,berkeley,S1.1,1,1,sham,40
680,acc,1,180,1,0.4171,berkeley,S1.1,1,1,sham,41
547,acc,1,180,1,0.4171,berkeley,S1.1,2,1,sham,42
627,spd,1,180,1,0.4171,berkeley,S1.1,2,1,sham,43
680,spd,1,180,1,0.4171,berkeley,S1.1,1,1,sham,44
587,spd,1,180,1,0.4171,berkeley,S1.1,1,1,sham,45
560,spd,1,180,1,0.4171,berkeley,S1.1,2,1,sham,46
467,spd,1,180,1,0.4171,berkeley,S1.1,1,1,sham,47
640,acc,1,180,1,0.4171,berkeley,S1.1,2,1,sham,48
586,spd,1,180,1,0.4171,berkeley,S1.1,2,1,sham,49
599,spd,1,180,1,0.4171,berkeley,S1.1,2,1,sham,50
613,spd,1,180,1,0.4171,berkeley,S1.1,1,1,sham,51
693,spd,1,180,1,0.4171,berkeley,S1.1,1,1,sham,52
560,acc,1,180,1,0.4171,berkeley,S1.1,2,1,sham,53
547,spd,1,180,1,0.4171,berkeley,S1.1,1,1,sham,54
600,acc,1,180,1,0.4171,berkeley,S1.1,1,1,sham,55
520,acc,1,180,1,0.4171,berkeley,S1.1,2,1,sham,56
519,spd,1,180,1,0.4171,berkeley,S1.1,2,1,sham,57
586,acc,1,180,1,0.4171,berkeley,S1.1,1,1,sham,58
520,acc,1,180,1,0.4171,berkeley,S1.1,2,1,sham,59
600,acc,1,180,1,0.4171,berkeley,S1.1,1,1,sham,60
600,acc,1,180,1,0.4171,berkeley,S1.1,1,1,sham,61
546,acc,1,180,1,0.4171,berkeley,S1.1,1,1,sham,62
493,spd,1,180,1,0.4171,berkeley,S1.1,2,1,sham,63
493,acc,1,180,1,0.4171,berkeley,S1.1,2,1,sham,64
546,spd,1,180,1,0.4171,berkeley,S1.1,2,1,sham,65
586,acc,1,180,1,0.4171,berkeley,S1.1,2,1,sham,66
506,spd,1,180,1,0.4171,berkeley,S1.1,1,1,sham,67
639,acc,1,180,1,0.4171,berkeley,S1.1,1,1,sham,68
520,spd,1,180,1,0.4171,berkeley,S1.1,1,1,sham,69
547,spd,1,180,1,0.4171,berkeley,S1.1,1,1,sham,70
493,acc,1,180,1,0.4171,berkeley,S1.1,2,1,sham,71
519,spd,1,180,1,0.4171,berkeley,S1.1,2,1,sham,72
600,spd,1,180,1,0.4171,berkeley,S1.1,1,1,sham,73
547,spd,1,180,1,0.4171,berkeley,S1.1,2,1,sham,74
573,spd,1,180,1,0.4171,berkeley,S1.1,2,1,sham,75
453,spd,1,180,1,0.4171,berkeley,S1.1,1,1,sham,76
493,acc,1,180,1,0.4171,berkeley,S1.1,2,1,sham,77
440,spd,1,180,1,0.4171,berkeley,S1.1,1,1,sham,78
533,spd,1,180,1,0.4171,berkeley,S1.1,2,1,sham,79
546,acc,1,180,1,0.4171,berkeley,S1.1,1,1,sham,80
480,spd,1,180,1,0.4171,berkeley,S1.1,1,1,sham,81
493,spd,1,180,1,0.4171,berkeley,S1.1,1,1,sham,82
453,spd,1,180,1,0.4171,berkeley,S1.1,2,1,sham,83
414,spd,1,180,1,0.4171,berkeley,S1.1,2,1,sham,84
693,acc,1,180,1,0.4171,berkeley,S1.1,2,1,sham,85
506,spd,1,180,1,0.4171,berkeley,S1.1,2,1,sham,86
559,spd,1,180,1,0.4171,berkeley,S1.1,1,1,sham,87
586,acc,1,180,1,0.4171,berkeley,S1.1,1,1,sham,88
546,acc,1,180,1,0.4171,berkeley,S1.1,2,1,sham,89
533,acc,1,180,1,0.4171,berkeley,S1.1,1,1,sham,90
480,spd,1,180,1,0.4171,berkeley,S1.1,2,1,sham,91
439,spd,1,180,1,0.4171,berkeley,S1.1,1,1,sham,92
480,acc,1,180,1,0.4171,berkeley,S1.1,2,1,sham,93
507,acc,1,180,1,0.4171,berkeley,S1.1,2,1,sham,94
467,acc,1,180,1,0.4171,berkeley,S1.1,1,1,sham,95
480,acc,1,180,1,0.4171,berkeley,S1.1,1,1,sham,96
520,spd,1,180,1,0.4171,berkeley,S1.1,1,1,sham,97
519,spd,1,180,1,0.4171,berkeley,S1.1,2,1,sham,98
640,spd,1,180,1,0.4171,berkeley,S1.1,2,1,sham,99
467,acc,1,180,1,0.4171,berkeley,S1.1,1,1,sham,100
